Account Number,Suite,House Number,Street Name,Garage,Neighbourhood ID,Neighbourhood,Ward,Assessed Value,Latitude,Longitude,Assessment Class 1
2001659,,152,QUESNELL CRESCENT NW,Y,4420,QUESNELL HEIGHTS,Ward 5,1003500,53.50871785,-113.5726371,RESIDENTIAL
2022770,,9008,139 STREET NW,Y,3330,PARKVIEW,Ward 1,1301000,53.52326225,-113.5616106,RESIDENTIAL
2657351,,10338,138 STREET NW,Y,3200,GLENORA,Ward 1,1564000,53.54587469,-113.5601612,RESIDENTIAL
2000529,,147,QUESNELL CRESCENT NW,Y,4420,QUESNELL HEIGHTS,Ward 5,1291500,53.50810064,-113.5721712,RESIDENTIAL
2647089,,10423,134 STREET NW,Y,3200,GLENORA,Ward 1,1101500,53.54691554,-113.5524837,RESIDENTIAL
2024990,,8719,137 STREET NW,Y,3330,PARKVIEW,Ward 1,1005500,53.52028164,-113.5574793,RESIDENTIAL
2020774,,9128,141 STREET NW,Y,3330,PARKVIEW,Ward 1,1104000,53.52655731,-113.5645311,RESIDENTIAL
2048825,,9743,145 STREET NW,Y,3140,CRESTWOOD,Ward 1,1342000,53.53614864,-113.5716555,RESIDENTIAL
2048981,,9728,144 STREET NW,Y,3140,CRESTWOOD,Ward 1,1264000,53.53566658,-113.5712912,RESIDENTIAL
2664704,,13403,103 AVENUE NW,Y,3200,GLENORA,Ward 1,1271000,53.54429439,-113.5532218,RESIDENTIAL
2604809,,13838,RAVINE DRIVE NW,Y,3200,GLENORA,Ward 1,1024500,53.54021968,-113.5618419,RESIDENTIAL
2021178,,9039,138 STREET NW,Y,3330,PARKVIEW,Ward 1,1122500,53.5248155,-113.5600256,RESIDENTIAL
2025690,,13607,86 AVENUE NW,Y,3330,PARKVIEW,Ward 1,1145500,53.51747814,-113.5569095,RESIDENTIAL
2615698,,14121,97 AVENUE NW,Y,3140,CRESTWOOD,Ward 1,1185500,53.53406797,-113.5640835,RESIDENTIAL
2025161,,86,VALLEYVIEW CRESCENT NW,Y,3330,PARKVIEW,Ward 1,2046000,53.51889561,-113.5568905,RESIDENTIAL
2014926,,8207,134 STREET NW,Y,3270,LAURIER HEIGHTS,Ward 1,2156500,53.5161099,-113.5520566,RESIDENTIAL
2026854,,14401,90 AVENUE NW,Y,3330,PARKVIEW,Ward 1,1093000,53.52279413,-113.5687912,RESIDENTIAL
2024693,,50,VALLEYVIEW CRESCENT NW,Y,3330,PARKVIEW,Ward 1,1035000,53.52100404,-113.5584294,RESIDENTIAL
2606952,,13703,SUMMIT POINT NW,Y,3140,CRESTWOOD,Ward 1,8196000,53.53721757,-113.5567497,RESIDENTIAL
2634749,,10534,135 STREET NW,Y,3200,GLENORA,Ward 1,1176500,53.54905053,-113.5551143,RESIDENTIAL
2012789,,8311,138 STREET NW,Y,3270,LAURIER HEIGHTS,Ward 1,1181000,53.51652896,-113.5592073,RESIDENTIAL
2001451,,3,QUESNELL ROAD NW,Y,4420,QUESNELL HEIGHTS,Ward 5,1008500,53.5095288,-113.5776828,RESIDENTIAL
2022994,,3,VALLEYVIEW CRESCENT NW,Y,3330,PARKVIEW,Ward 1,2155500,53.52231766,-113.5570591,RESIDENTIAL
2667657,,13005,GLENORA CRESCENT NW,Y,3200,GLENORA,Ward 1,1831000,53.54441674,-113.5463381,RESIDENTIAL
2021038,,9008,VALLEYVIEW DRIVE NW,Y,3330,PARKVIEW,Ward 1,3196500,53.52381574,-113.5581806,RESIDENTIAL
2022663,,13711,90 AVENUE NW,Y,3330,PARKVIEW,Ward 1,1129500,53.52293547,-113.5582791,RESIDENTIAL
2035517,,14628,91 AVENUE NW,Y,3330,PARKVIEW,Ward 1,1087500,53.52524043,-113.5718801,RESIDENTIAL
2013373,,7806,BUENA VISTA ROAD NW,Y,3270,LAURIER HEIGHTS,Ward 1,1611000,53.51390665,-113.5564278,RESIDENTIAL
2013761,,7712,139 STREET NW,Y,3270,LAURIER HEIGHTS,Ward 1,1360000,53.51263185,-113.5616311,RESIDENTIAL
2025351,,8707,136 STREET NW,Y,3330,PARKVIEW,Ward 1,1684000,53.51954659,-113.5555435,RESIDENTIAL
2014041,,10,LAURIER PLACE NW,Y,3270,LAURIER HEIGHTS,Ward 1,1056000,53.51238747,-113.5599288,RESIDENTIAL
2011427,,8607,140 STREET NW,Y,3270,LAURIER HEIGHTS,Ward 1,1024000,53.51902791,-113.5622687,RESIDENTIAL
2614196,,14132,97 AVENUE NW,Y,3140,CRESTWOOD,Ward 1,1365000,53.53451608,-113.5649901,RESIDENTIAL
2025245,,72,VALLEYVIEW CRESCENT NW,Y,3330,PARKVIEW,Ward 1,1496500,53.51962912,-113.5547815,RESIDENTIAL
2019503,,9114,VALLEYVIEW DRIVE NW,Y,3330,PARKVIEW,Ward 1,1150500,53.52596554,-113.5599794,RESIDENTIAL
2646859,,10445,134 STREET NW,Y,3200,GLENORA,Ward 1,1114000,53.54756702,-113.552484,RESIDENTIAL
2605608,,13814,RAVINE DRIVE NW,Y,3200,GLENORA,Ward 1,1241500,53.54078182,-113.5607558,RESIDENTIAL
2047934,,14505,97 AVENUE NW,Y,3140,CRESTWOOD,Ward 1,1117500,53.53444713,-113.5732876,RESIDENTIAL
2641157,,14014,104A AVENUE NW,Y,3200,GLENORA,Ward 1,1282000,53.54702551,-113.5640121,RESIDENTIAL
2615961,,14120,96 AVENUE NW,Y,3140,CRESTWOOD,Ward 1,1432500,53.53345324,-113.5643038,RESIDENTIAL
2657153,,10322,138 STREET NW,Y,3200,GLENORA,Ward 1,1054000,53.54532654,-113.560161,RESIDENTIAL
2048759,,9719,145 STREET NW,Y,3140,CRESTWOOD,Ward 1,1574000,53.53536471,-113.572311,RESIDENTIAL
2013282,,13703,79 AVENUE NW,Y,3270,LAURIER HEIGHTS,Ward 1,1280500,53.51432375,-113.5574373,RESIDENTIAL
2611853,,16,RIVERSIDE CRESCENT NW,Y,3140,CRESTWOOD,Ward 1,2675000,53.53050699,-113.5627748,RESIDENTIAL
2649457,,13012,104 AVENUE NW,N,3200,GLENORA,Ward 1,1132500,53.54649172,-113.546722,RESIDENTIAL
2044501,,10044,147 STREET NW,Y,3140,CRESTWOOD,Ward 1,1216500,53.54052335,-113.5750229,RESIDENTIAL
2017838,,13312,79 AVENUE NW,Y,3270,LAURIER HEIGHTS,Ward 1,1152500,53.51450263,-113.5517854,RESIDENTIAL
2605053,,13858,RAVINE DRIVE NW,Y,3200,GLENORA,Ward 1,1047500,53.53965046,-113.5628362,RESIDENTIAL
2016806,,8103,133 STREET NW,Y,3270,LAURIER HEIGHTS,Ward 1,1176000,53.51545206,-113.5503633,RESIDENTIAL
2022010,,9004,141 STREET NW,Y,3330,PARKVIEW,Ward 1,1350000,53.5230234,-113.5644883,RESIDENTIAL
2603553,,13628,RAVINE DRIVE NW,Y,3200,GLENORA,Ward 1,1886000,53.54005366,-113.558236,RESIDENTIAL
2000487,,131,QUESNELL CRESCENT NW,Y,4420,QUESNELL HEIGHTS,Ward 5,1572500,53.5079803,-113.5705629,RESIDENTIAL
2636157,,10527,137 STREET NW,Y,3200,GLENORA,Ward 1,1131500,53.54877645,-113.5575326,RESIDENTIAL
2607208,,13806,SUMMIT DRIVE NW,Y,3140,CRESTWOOD,Ward 1,1757000,53.53720627,-113.5597718,RESIDENTIAL
2061554,,14319,MACKENZIE DRIVE NW,Y,3140,CRESTWOOD,Ward 1,1158500,53.52982508,-113.568626,RESIDENTIAL
2616472,,9635,141 STREET NW,Y,3140,CRESTWOOD,Ward 1,1036500,53.53417629,-113.5617574,RESIDENTIAL
2614543,,14119,98 AVENUE NW,Y,3140,CRESTWOOD,Ward 1,1324000,53.53566776,-113.5629285,RESIDENTIAL
2032761,,14220,92A AVENUE NW,Y,3330,PARKVIEW,Ward 1,2029000,53.52842741,-113.567286,RESIDENTIAL
2617017,,9628,RIVERSIDE DRIVE NW,Y,3140,CRESTWOOD,Ward 1,1798000,53.53450964,-113.5607678,RESIDENTIAL
2030054,,8811,146 STREET NW,Y,3330,PARKVIEW,Ward 1,1134000,53.52089838,-113.5713758,RESIDENTIAL
2024420,,13803,88 AVENUE NW,Y,3330,PARKVIEW,Ward 1,1126500,53.52017382,-113.5599161,RESIDENTIAL
2012912,,13631,BUENA VISTA ROAD NW,Y,3270,LAURIER HEIGHTS,Ward 1,1149000,53.51650233,-113.5585088,RESIDENTIAL
2634921,,10523,136 STREET NW,Y,3200,GLENORA,Ward 1,1193500,53.54864108,-113.5558508,RESIDENTIAL
2101509,,10327,145 STREET NW,Y,3210,GROVENOR,Ward 1,1156500,53.54496387,-113.5703967,RESIDENTIAL
2047850,,9611,146 STREET NW,Y,3140,CRESTWOOD,Ward 1,1431000,53.53360967,-113.5740536,RESIDENTIAL
2013183,,8303,138 STREET NW,Y,3270,LAURIER HEIGHTS,Ward 1,1106500,53.51604618,-113.5590884,RESIDENTIAL
2067205,,14305,SUMMIT DRIVE NW,Y,3140,CRESTWOOD,Ward 1,1953000,53.53843767,-113.5678683,RESIDENTIAL
2021558,,13808,90 AVENUE NW,Y,3330,PARKVIEW,Ward 1,1054500,53.52335139,-113.5601912,RESIDENTIAL
2667855,,10224,130 STREET NW,Y,3200,GLENORA,Ward 1,1540500,53.54385051,-113.5463081,RESIDENTIAL
2022622,,2,VALLEYVIEW CRESCENT NW,Y,3330,PARKVIEW,Ward 1,1627000,53.52291776,-113.5571336,RESIDENTIAL
2000602,,179,QUESNELL CRESCENT NW,Y,4420,QUESNELL HEIGHTS,Ward 5,3018500,53.50779935,-113.5752503,RESIDENTIAL
2010569,,14011,77 AVENUE NW,Y,3270,LAURIER HEIGHTS,Ward 1,1270000,53.51282477,-113.5640122,RESIDENTIAL
2017606,,13203,81 AVENUE NW,Y,3270,LAURIER HEIGHTS,Ward 1,2191500,53.51491895,-113.5494678,RESIDENTIAL
2635951,,10538,136 STREET NW,Y,3200,GLENORA,Ward 1,1173500,53.54918708,-113.556797,RESIDENTIAL
2032993,,14388,PARK DRIVE NW,Y,3330,PARKVIEW,Ward 1,1445000,53.52975321,-113.5723844,RESIDENTIAL
2006633,,14712,80 AVENUE NW,Y,3270,LAURIER HEIGHTS,Ward 1,1001500,53.51497446,-113.5753971,RESIDENTIAL
2013332,,7908,BUENA VISTA ROAD NW,Y,3270,LAURIER HEIGHTS,Ward 1,1033000,53.51474721,-113.5565255,RESIDENTIAL
2048767,,9723,145 STREET NW,Y,3140,CRESTWOOD,Ward 1,2264000,53.53553096,-113.5723131,RESIDENTIAL
2634509,,10502,135 STREET NW,Y,3200,GLENORA,Ward 1,1152500,53.54795424,-113.555114,RESIDENTIAL
2013878,,19,LAURIER PLACE NW,Y,3270,LAURIER HEIGHTS,Ward 1,1106500,53.51345015,-113.5605612,RESIDENTIAL
2048932,,9748,144 STREET NW,Y,3140,CRESTWOOD,Ward 1,1158500,53.53623919,-113.5705955,RESIDENTIAL
2019438,,9126,VALLEYVIEW DRIVE NW,Y,3330,PARKVIEW,Ward 1,2915500,53.52661308,-113.5601284,RESIDENTIAL
2035376,,14603,92A AVENUE NW,Y,3330,PARKVIEW,Ward 1,1039000,53.52691246,-113.5720542,RESIDENTIAL
2629632,,10529,130 STREET NW,Y,3440,WESTMOUNT,Ward 2,1361000,53.54865141,-113.5457526,RESIDENTIAL
2616175,,9507,141 STREET NW,Y,3140,CRESTWOOD,Ward 1,1053500,53.53233249,-113.5625293,RESIDENTIAL
2025518,,13707,87 AVENUE NW,Y,3330,PARKVIEW,Ward 1,1260500,53.51915962,-113.5590286,RESIDENTIAL
2650109,,12920,103 AVENUE NW,Y,3200,GLENORA,Ward 1,1339000,53.54490483,-113.5447206,RESIDENTIAL
2021129,,9027,138 STREET NW,Y,3330,PARKVIEW,Ward 1,2073500,53.52433754,-113.5595648,RESIDENTIAL
2613552,,13821,SUMMIT DRIVE NW,Y,3140,CRESTWOOD,Ward 1,1302500,53.53715206,-113.5621401,RESIDENTIAL
2622264,,10836,130 STREET NW,Y,3440,WESTMOUNT,Ward 2,1146500,53.55363325,-113.5467029,RESIDENTIAL
2056000,,14519,SUMMIT DRIVE NW,Y,3140,CRESTWOOD,Ward 1,1604500,53.53946056,-113.5718188,RESIDENTIAL
2603751,,13644,RAVINE DRIVE NW,Y,3200,GLENORA,Ward 1,1317000,53.54049763,-113.559227,RESIDENTIAL
2060606,,14504,MACKENZIE DRIVE NW,Y,3140,CRESTWOOD,Ward 1,1269500,53.53107998,-113.5715012,RESIDENTIAL
2025393,,8712,136 STREET NW,Y,3330,PARKVIEW,Ward 1,1099500,53.51983458,-113.5568703,RESIDENTIAL
2612059,,24,RIVERSIDE CRESCENT NW,Y,3140,CRESTWOOD,Ward 1,5308000,53.53039503,-113.5610371,RESIDENTIAL
2009108,,7707,143A STREET NW,Y,3270,LAURIER HEIGHTS,Ward 1,1466000,53.51264066,-113.5677518,RESIDENTIAL
2613701,,13801,SUMMIT DRIVE NW,Y,3140,CRESTWOOD,Ward 1,1187500,53.53680842,-113.5603233,RESIDENTIAL
2638948,,13828,106A AVENUE NW,Y,3200,GLENORA,Ward 1,1355000,53.55052653,-113.5612093,RESIDENTIAL
2011864,,14008,85 AVENUE NW,Y,3270,LAURIER HEIGHTS,Ward 1,1284000,53.51760554,-113.562837,RESIDENTIAL
2638344,,14021,106A AVENUE NW,Y,3200,GLENORA,Ward 1,1618000,53.54958088,-113.5643157,RESIDENTIAL
2059129,,9415,144 STREET NW,Y,3140,CRESTWOOD,Ward 1,1525000,53.53066597,-113.5688191,RESIDENTIAL
2653657,,17,ALEXANDER CIRCLE NW,Y,3200,GLENORA,Ward 1,1319500,53.54520733,-113.5516509,RESIDENTIAL
2051241,,9734,143 STREET NW,Y,3140,CRESTWOOD,Ward 1,1511000,53.5355332,-113.5679365,RESIDENTIAL
2054609,,10009,147 STREET NW,Y,3140,CRESTWOOD,Ward 1,1219000,53.53955839,-113.5740501,RESIDENTIAL
2616563,,9707,141 STREET NW,Y,3140,CRESTWOOD,Ward 1,1022000,53.53479106,-113.5615476,RESIDENTIAL
2646255,,10411,135 STREET NW,Y,3200,GLENORA,Ward 1,1470500,53.54664325,-113.5541664,RESIDENTIAL
2617132,,9608,RIVERSIDE DRIVE NW,Y,3140,CRESTWOOD,Ward 1,1517000,53.53367114,-113.5612299,RESIDENTIAL
2018851,,14028,VALLEYVIEW DRIVE NW,Y,3330,PARKVIEW,Ward 1,3084000,53.52872281,-113.5638812,RESIDENTIAL
2627107,,10520,127 STREET NW,Y,3440,WESTMOUNT,Ward 2,1042000,53.54859982,-113.5416504,RESIDENTIAL
2049427,,9532,144 STREET NW,Y,3140,CRESTWOOD,Ward 1,1610500,53.53265816,-113.5705663,RESIDENTIAL
2616357,,9523,141 STREET NW,Y,3140,CRESTWOOD,Ward 1,1462500,53.53322537,-113.5621941,RESIDENTIAL
2602001,,13603,101 AVENUE NW,Y,3200,GLENORA,Ward 1,1264000,53.541016,-113.5566422,RESIDENTIAL
2611804,,14,RIVERSIDE CRESCENT NW,Y,3140,CRESTWOOD,Ward 1,1966000,53.53051742,-113.5631722,RESIDENTIAL
2651552,,13101,104 AVENUE NW,Y,3200,GLENORA,Ward 1,1146500,53.54590414,-113.5481742,RESIDENTIAL
2009553,,114,LAURIER DRIVE NW,Y,3270,LAURIER HEIGHTS,Ward 1,1510000,53.50949075,-113.5651891,RESIDENTIAL
2014934,,8303,134 STREET NW,Y,3270,LAURIER HEIGHTS,Ward 1,1196000,53.51633905,-113.5520563,RESIDENTIAL
2614485,,14127,98 AVENUE NW,Y,3140,CRESTWOOD,Ward 1,1188500,53.53549959,-113.5636294,RESIDENTIAL
2023497,,13808,88 AVENUE NW,Y,3330,PARKVIEW,Ward 1,1054500,53.52060791,-113.560056,RESIDENTIAL
2645000,,10439,136 STREET NW,Y,3200,GLENORA,Ward 1,1348500,53.54746275,-113.5558496,RESIDENTIAL
2001568,,47,QUESNELL ROAD NW,Y,4420,QUESNELL HEIGHTS,Ward 5,1610000,53.50899631,-113.5738667,RESIDENTIAL
2658508,,10339,140 STREET NW,Y,3200,GLENORA,Ward 1,1245000,53.54587457,-113.5625803,RESIDENTIAL
2020972,,9022,VALLEYVIEW DRIVE NW,Y,3330,PARKVIEW,Ward 1,1964500,53.52453784,-113.5590512,RESIDENTIAL
2014553,,8304,135 STREET NW,Y,3270,LAURIER HEIGHTS,Ward 1,1145500,53.51615632,-113.554861,RESIDENTIAL
2024834,,8724,137 STREET NW,Y,3330,PARKVIEW,Ward 1,1183000,53.52042878,-113.5583887,RESIDENTIAL
2061711,,14307,MACKENZIE DRIVE NW,Y,3140,CRESTWOOD,Ward 1,1083000,53.52982157,-113.5676544,RESIDENTIAL
2033975,,14636,93 AVENUE NW,Y,3330,PARKVIEW,Ward 1,1002500,53.52867242,-113.5748394,RESIDENTIAL
2033256,,14631,MACKENZIE DRIVE NW,Y,3140,CRESTWOOD,Ward 1,1076500,53.53096664,-113.5749928,RESIDENTIAL
2051704,,9928,146 STREET NW,Y,3140,CRESTWOOD,Ward 1,1133000,53.53869302,-113.573289,RESIDENTIAL
2025328,,62,VALLEYVIEW CRESCENT NW,Y,3330,PARKVIEW,Ward 1,1340000,53.5204727,-113.5556897,RESIDENTIAL
2018836,,14104,VALLEYVIEW DRIVE NW,Y,3330,PARKVIEW,Ward 1,1575000,53.52827465,-113.5641945,RESIDENTIAL
2065001,,14322,RAVINE DRIVE NW,Y,3210,GROVENOR,Ward 1,2026000,53.54049789,-113.5691636,RESIDENTIAL
2613883,,14116,98 AVENUE NW,Y,3140,CRESTWOOD,Ward 1,1098000,53.5367629,-113.562614,RESIDENTIAL
2666204,,10210,133 STREET NW,Y,3200,GLENORA,Ward 1,1184500,53.54337601,-113.551539,RESIDENTIAL
2035418,,9130,146 STREET NW,Y,3330,PARKVIEW,Ward 1,1291000,53.52621891,-113.571602,RESIDENTIAL
2009637,,107,LAURIER DRIVE NW,Y,3270,LAURIER HEIGHTS,Ward 1,1662500,53.51025216,-113.5632985,RESIDENTIAL
2025278,,68,VALLEYVIEW CRESCENT NW,Y,3330,PARKVIEW,Ward 1,1342000,53.52006565,-113.5549691,RESIDENTIAL
2612406,,17,RIVERSIDE CRESCENT NW,Y,3140,CRESTWOOD,Ward 1,2140500,53.53177764,-113.561923,RESIDENTIAL
2612307,,34,RIVERSIDE CRESCENT NW,Y,3140,CRESTWOOD,Ward 1,4735500,53.53162106,-113.5608835,RESIDENTIAL
2000875,,11,QUESNELL CRESCENT NW,Y,4420,QUESNELL HEIGHTS,Ward 5,1019500,53.51044488,-113.5769099,RESIDENTIAL
2001287,,32,QUESNELL ROAD NW,Y,4420,QUESNELL HEIGHTS,Ward 5,1074500,53.50948919,-113.5753819,RESIDENTIAL
2025757,,8608,137 STREET NW,Y,3330,PARKVIEW,Ward 1,1092000,53.51830806,-113.5583839,RESIDENTIAL
2000438,,112,QUESNELL CRESCENT NW,Y,4420,QUESNELL HEIGHTS,Ward 5,1153000,53.50875501,-113.5692198,RESIDENTIAL
2613644,,13809,SUMMIT DRIVE NW,Y,3140,CRESTWOOD,Ward 1,1149000,53.53709108,-113.5608255,RESIDENTIAL
2062792,,14336,98 AVENUE NW,N,3140,CRESTWOOD,Ward 1,1013000,53.53680589,-113.5695085,RESIDENTIAL
2634715,,10530,135 STREET NW,Y,3200,GLENORA,Ward 1,1747000,53.54891575,-113.5551143,RESIDENTIAL
2066207,,14405,101 AVENUE NW,Y,3210,GROVENOR,Ward 1,1002500,53.54095967,-113.56951,RESIDENTIAL
2630358,,10507,131 STREET NW,Y,3200,GLENORA,Ward 1,1257000,53.54809617,-113.5474352,RESIDENTIAL
2647808,,10435,133 STREET NW,Y,3200,GLENORA,Ward 1,1592500,53.54732708,-113.5508009,RESIDENTIAL
2612489,,15,RIVERSIDE CRESCENT NW,Y,3140,CRESTWOOD,Ward 1,1192000,53.5315845,-113.5619403,RESIDENTIAL
2013290,,7903,137 STREET NW,Y,3270,LAURIER HEIGHTS,Ward 1,1755500,53.51457958,-113.5573646,RESIDENTIAL
2012870,,13711,BUENA VISTA ROAD NW,Y,3270,LAURIER HEIGHTS,Ward 1,1060500,53.51704706,-113.5594103,RESIDENTIAL
2611234,,9437,142 STREET NW,Y,3140,CRESTWOOD,Ward 1,1252500,53.53129891,-113.5649404,RESIDENTIAL
2047025,,9756,146 STREET NW,Y,3140,CRESTWOOD,Ward 1,1591500,53.5365984,-113.574302,RESIDENTIAL
2000537,,151,QUESNELL CRESCENT NW,Y,4420,QUESNELL HEIGHTS,Ward 5,1339000,53.50812003,-113.5725677,RESIDENTIAL
2607059,,13714,SUMMIT POINT NW,Y,3140,CRESTWOOD,Ward 1,2075000,53.53725802,-113.5585768,RESIDENTIAL
2638781,,13904,106 AVENUE NW,Y,3200,GLENORA,Ward 1,1089000,53.5495247,-113.5618502,RESIDENTIAL
2014801,,8128,133 STREET NW,Y,3270,LAURIER HEIGHTS,Ward 1,1224500,53.51674066,-113.5513218,RESIDENTIAL
2024982,,8723,137 STREET NW,Y,3330,PARKVIEW,Ward 1,1061000,53.52048362,-113.5574234,RESIDENTIAL
2614634,,14111,98 AVENUE NW,Y,3140,CRESTWOOD,Ward 1,1405000,53.53618832,-113.5627566,RESIDENTIAL
2025179,,84,VALLEYVIEW CRESCENT NW,Y,3330,PARKVIEW,Ward 1,1714000,53.51896156,-113.5564993,RESIDENTIAL
2048858,,9755,145 STREET NW,Y,3140,CRESTWOOD,Ward 1,1423000,53.53650659,-113.5712394,RESIDENTIAL
2025112,,8603,137 STREET NW,Y,3330,PARKVIEW,Ward 1,1205000,53.51805311,-113.5574802,RESIDENTIAL
2025096,,8611,137 STREET NW,Y,3330,PARKVIEW,Ward 1,1013500,53.51850255,-113.5575179,RESIDENTIAL
1986280,,236,WAKINA DRIVE NW,Y,4360,OLESKIW,Ward 5,1836000,53.50138296,-113.6032581,RESIDENTIAL
2062909,,14307,99 AVENUE NW,Y,3140,CRESTWOOD,Ward 1,1183500,53.53684081,-113.5679789,RESIDENTIAL
2616597,,9711,141 STREET NW,Y,3140,CRESTWOOD,Ward 1,1085500,53.5350379,-113.5614707,RESIDENTIAL
2631679,,10523,133 STREET NW,Y,3200,GLENORA,Ward 1,1544500,53.54864352,-113.5508015,RESIDENTIAL
2638682,,10617,140 STREET NW,Y,3200,GLENORA,Ward 1,1017500,53.55010699,-113.562586,RESIDENTIAL
2050490,,9508,142 STREET NW,Y,3140,CRESTWOOD,Ward 1,1040500,53.53182466,-113.5661961,RESIDENTIAL
2012425,,8203,140 STREET NW,Y,3270,LAURIER HEIGHTS,Ward 1,1151500,53.51543711,-113.562071,RESIDENTIAL
2635506,,10502,136 STREET NW,Y,3200,GLENORA,Ward 1,1003500,53.547956,-113.5567968,RESIDENTIAL
2022234,,9007,141 STREET NW,Y,3330,PARKVIEW,Ward 1,1091500,53.52349897,-113.5636843,RESIDENTIAL
2029338,,8908,147 STREET NW,Y,3330,PARKVIEW,Ward 1,1249000,53.52140651,-113.5752698,RESIDENTIAL
2622694,,10816,131 STREET NW,Y,3440,WESTMOUNT,Ward 2,1122500,53.55281657,-113.548167,RESIDENTIAL
2036978,,9228,148 STREET NW,Y,3330,PARKVIEW,Ward 1,1075000,53.52645285,-113.5767338,RESIDENTIAL
2620300,,10803,128 STREET NW,Y,3440,WESTMOUNT,Ward 2,1099500,53.55272271,-113.5423875,RESIDENTIAL
2048288,,9715,146 STREET NW,Y,3140,CRESTWOOD,Ward 1,1272500,53.53522717,-113.5740579,RESIDENTIAL
2034148,,14703,PARK DRIVE NW,Y,3330,PARKVIEW,Ward 1,1476000,53.52994729,-113.5751512,RESIDENTIAL
2607000,,13710,SUMMIT POINT NW,Y,3140,CRESTWOOD,Ward 1,2502500,53.53737218,-113.5578557,RESIDENTIAL
2637973,,13824,106 AVENUE NW,Y,3200,GLENORA,Ward 1,1842500,53.54952571,-113.5609019,RESIDENTIAL
2668200,,12903,103 AVENUE NW,Y,3200,GLENORA,Ward 1,1462500,53.54429669,-113.5443049,RESIDENTIAL
2605103,,13862,RAVINE DRIVE NW,Y,3200,GLENORA,Ward 1,1007500,53.53961109,-113.5631277,RESIDENTIAL
2006443,,8304,145 STREET NW,Y,3270,LAURIER HEIGHTS,Ward 1,1024500,53.51652272,-113.5715226,RESIDENTIAL
2642700,,10434,139 STREET NW,Y,3200,GLENORA,Ward 1,1169000,53.5474624,-113.561846,RESIDENTIAL
2612208,,30,RIVERSIDE CRESCENT NW,Y,3140,CRESTWOOD,Ward 1,4616000,53.5311945,-113.5609591,RESIDENTIAL
2615938,,14116,96 AVENUE NW,Y,3140,CRESTWOOD,Ward 1,1062000,53.53367047,-113.5641167,RESIDENTIAL
2602407,,13631,100 AVENUE NW,Y,3200,GLENORA,Ward 1,1287000,53.54067003,-113.5584607,RESIDENTIAL
2032514,,9147,143 STREET NW,Y,3330,PARKVIEW,Ward 1,1487500,53.5276082,-113.566877,RESIDENTIAL
2025799,,8624,137 STREET NW,Y,3330,PARKVIEW,Ward 1,1181000,53.51917522,-113.5583853,RESIDENTIAL
2643401,,10410,138 STREET NW,Y,3200,GLENORA,Ward 1,1195500,53.5466385,-113.5601618,RESIDENTIAL
2652857,,1,ALEXANDER CIRCLE NW,Y,3200,GLENORA,Ward 1,1162500,53.54520225,-113.5508959,RESIDENTIAL
2026250,,9007,143 STREET NW,Y,3330,PARKVIEW,Ward 1,1194000,53.52324546,-113.5668674,RESIDENTIAL
2022952,,10,VALLEYVIEW POINT NW,Y,3330,PARKVIEW,Ward 1,1681500,53.52184055,-113.5562213,RESIDENTIAL
2616084,,14107,96 AVENUE NW,Y,3140,CRESTWOOD,Ward 1,1807000,53.53264879,-113.5636327,RESIDENTIAL
2019578,,13804,91 AVENUE NW,Y,3330,PARKVIEW,Ward 1,1457500,53.52524096,-113.5602636,RESIDENTIAL
2024701,,48,VALLEYVIEW CRESCENT NW,Y,3330,PARKVIEW,Ward 1,1357000,53.52100314,-113.5587942,RESIDENTIAL
2613529,,13825,SUMMIT DRIVE NW,Y,3140,CRESTWOOD,Ward 1,1822500,53.53717158,-113.5625641,RESIDENTIAL
2000479,,127,QUESNELL CRESCENT NW,Y,4420,QUESNELL HEIGHTS,Ward 5,1184000,53.50799416,-113.5700441,RESIDENTIAL
2008670,,7703,145 STREET NW,Y,3270,LAURIER HEIGHTS,Ward 1,1227500,53.51274358,-113.5713802,RESIDENTIAL
2616449,,9625,141 STREET NW,Y,3140,CRESTWOOD,Ward 1,1157000,53.53393408,-113.5618702,RESIDENTIAL
2009207,,7508,142A STREET NW,Y,3270,LAURIER HEIGHTS,Ward 1,1041500,53.51223324,-113.5675297,RESIDENTIAL
2013795,,7720,139 STREET NW,Y,3270,LAURIER HEIGHTS,Ward 1,1032000,53.51296361,-113.5614317,RESIDENTIAL
2016921,,8132,133 STREET NW,Y,3270,LAURIER HEIGHTS,Ward 1,1655500,53.51693687,-113.5509256,RESIDENTIAL
2021996,,14019,90 AVENUE NW,Y,3330,PARKVIEW,Ward 1,1675500,53.52283427,-113.5643716,RESIDENTIAL
2636355,,10511,137 STREET NW,Y,3200,GLENORA,Ward 1,1608000,53.5482283,-113.5575325,RESIDENTIAL
2025302,,64,VALLEYVIEW CRESCENT NW,Y,3330,PARKVIEW,Ward 1,1306000,53.52041731,-113.5552938,RESIDENTIAL
2000495,,135,QUESNELL CRESCENT NW,Y,4420,QUESNELL HEIGHTS,Ward 5,2426500,53.50797052,-113.5709677,RESIDENTIAL
2048817,,9739,145 STREET NW,Y,3140,CRESTWOOD,Ward 1,1710500,53.53602782,-113.5717942,RESIDENTIAL
2024941,,60,VALLEYVIEW CRESCENT NW,Y,3330,PARKVIEW,Ward 1,1074000,53.52061226,-113.5563711,RESIDENTIAL
